Politik,Strana,Relácia,Výrok,Rok,Mesiac,Hodnota
Eduard Heger,Oľano,O 5 minút 12,"Začiatkom druhej vlny sme túto pomoc rozšírili na Prvú pomoc plus, v januári sme túto pomoc rozšírili o ďalších 40 000 000 mesačne na Prvú pomoc plus plus. Teraz máme na stole cestovnému ruchu ďalších 100 000 000, pretože to, čo pokrylo minulý rok, teraz potrebujeme pokryť práve ten výpadok tohto roku, takže to máme pripravené, máme pripravené podklady, ktoré sme prezentovali, a taktiež pomoc kultúre beží, tam je 50 000 000.",2021,4,Pravda
Eduard Heger,Oľano,O 5 minút 12,"My, v porovnaní s rokom 2009, sme reagovali (na krízu) omnoho promptnejšie (...) keď vy ste priniesli napr. príspevok ku mzde zamestnancom, ktorí boli, vtedy ste deklarovali, doteraz nezamestnaní a sami si nenašli zamestnanie, tak zo štátneho rozpočtu ste vyčlenili na to 4.000.000 EUR. My dávame stovky milión EUR mesačne, vy na celú krízu 4.000.000 EUR. Alebo tu máme potom ďalšie opatrenie, a je to vaše šrotovné tu máme, a to vaše šrotovné to bolo vo výške 55.000.000 EUR, 55.000.000 EUR na celú krízu, ktorá bola rovnako veľká. Potom tu máme program Obnov si svoj dom za 10.000.000 EUR, ktoré vieme, že mnohé z týchto opatrení ani neboli vyčerpané v takej podobe. A stimuly pre malé a stredné podniky 8.000.000 EUR.",2021,4,Zavádzajúce
Róbert Fico,SMER-SD,O 5 minút 12,"Na túto istú otázku sa na Slovensku konali už 2 referendá, v jednom referende dokonca došlo 38 % ľudí.",2021,4,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"Ako sa môže stať, že dnes je 250 000 ľudí druhou dávkou zaočkovaných, máte okolo 650 000 ľudí zaočkovaných prvou dávkou a stáva sa, že človek príde, prvú dávku mu dali Pfizer, a druhú dávku mu núkajú úplne Moderni alebo mu núkajú niečo iné.",2021,4,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"Podľa mňa sa blížime k 400 (tisíc, pozn.) lebo keď vidia ľudia tieto geniálne vystúpenia, tak doslova stoja v rade pred centrálou Smeru a nosia ďalšie a ďalšie hárky.",2021,4,Neoveriteľné
Eduard Heger,Oľano,O 5 minút 12,"Toto boli vaše výroky, toto boli vaše výroky, ešte v apríli, keď ste namietali rúška, dnes všetci vedia, že rúško, aj vy už dnes ste si dali rúško a som vám za to vďačný, že ste si dali rúško teda respirátor, pretože to je jediná ochrana, ak ho máte na nose a na ústach vieme, že ten vírus sa šíri aerosolom, čiže našim výdychom. Jediná ochrana je rúško, ktoré je na nose aj na ústach. Vy ste to spochybňovali. Pozrite sa, čo ste robili 17. 11. vy sám ste povedali, aké boli vysoké úmrtia, a keď začali stúpať úmrtia vlastne od októbra vyššie… chceli ste spochybniť celý tento boj proti pandémii, lebo ste sám hovorili, že ďalšie spochybňovanie vakcinácie, my dneska vieme, že práve vakcíny zasadzujú veľmi významný úder tej pandémii.",2021,4,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"Nefungujú už ani napríklad antigénové testy, veď to bolo vaše ministerstvo, pán minister, ktoré teraz poslalo tým, čo majú tie MOM-ky, mobilné operačné, alebo odberové miesta informáciu, že prosím vás dajte nám informácie, pretože máme katastrofálne údaje o nepresnosti a nespoľahlivosti antigénových testov, ktoré sú tam.",2021,4,Zavádzajúce
Eduard Heger,Oľano,O 5 minút 12,"A pritom pán Fico, vy ste v roku 2018, pamätáte si rok 2018, po smrti nevinného Jána a Martiny, ste vy povedali, že žiadať predčasné voľby je popretie demokratických volieb.",2021,4,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"Ako je možné, že sa nám zvýšila nezamestnanosť na 8 %? Musím sa spýtať, pretože som si minule vypočul, že všetko funguje, pán redaktor, iba staviam také otázky, že aktuálny údaj hovorí, že 16 000 prevádzok v gastre to vzdalo, sa zatvorilo, a 35 000 ľudí v tejto prevádzke došlo o zamestnanie.",2021,4,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"My sme veľmi korektne ponúkli, pán redaktor, pred asi možno mesiacom vláde Slovenskej republiky 2 alternatívy, jedna alternatíva je prestaňte sa hádať a pracujte, my vám budeme pomáhať, pretože my sa tiež tešíme, keď sa znižujú počty obetí covidu, a keď je to lepšie a lepšie a lepšie, samozrejme. Alebo ak to nechcú robiť, tak aby od toho definitívne odstúpili a nech sa pristúpi k rozdaniu kariet.",2021,4,Pravda
Eduard Heger,Oľano,O 5 minút 12,"Ľudia, ktorí boli nominantmi, priamymi nominantami Roberta Fica, teda vlád Roberta Fica, tak dnes čelia obvineniam zo závažných korupčných káuz.",2021,4,Pravda
Jaroslav Naď,Oľano,Na telo plus,"Richard Sulík už jednu rozbil (vládu, pozn.).",2021,4,Zavádzajúce
Jaroslav Naď,Oľano,Na telo plus,Zlepšuje sa situáciu ohľadom covid-u.,2021,4,Pravda
Jaroslav Naď,Oľano,Na telo plus,"… mu neprešiel na poslednej vláde materiál, ktorý zrušila Veronika Remišová, lebo Richard Sulík bez akejkoľvek konzultácie predložil materiál o e-karanténe, kde dával úlohy Veronike Remišovej...",2021,4,Pravda
Jaroslav Naď,Oľano,Na telo plus,"V drvivej väčšine prípadov, keď Igor Matovič neviedol vládu, tak ju viedol napríklad Eduard Heger, a pritom prvým vicepremiérom bol Richard Sulík.",2021,4,Pravda
Jaroslav Naď,Oľano,Na telo plus,Vedenie vlády - a tak to bolo aj v priebehu tohto roka - vždy odovzdá predseda vlády niektorému z členov a nemusí to byť vicepremiér.,2021,4,Nepravda
Jaroslav Naď,Oľano,Na telo plus,Predsa každá vláda si vytvárala nejakú funkciu podpredsedu vlády.,2021,4,Pravda
Jaroslav Naď,Oľano,Na telo plus,"My sme mali dostať o jedno miesto predsedu výboru v Národnej rade viac. Opäť, tak, ako sme dali jedno ministerstvo SaS-ke po voľbách, tak sme dali jedno miesto predsedu výboru navyše strane Za ľudí.",2021,4,Pravda
Jaroslav Naď,Oľano,Na telo plus,"Na x rokovaniach, keď verejne donekonečna opakoval pán Sulík, že je pripravený odísť, ak odíde aj Igor Matovič, tak v zákulisí nám hovoril, že jednoznačne pripravený odísť nie je a robí to aj teraz.",2021,4,Neoveriteľné
Jaroslav Naď,Oľano,Na telo plus,"… Igor Matovič na vláde takmer nikdy nebol v konflikte s Richardom Sulíkom. Teda s výnimkou posledného prípadu, kedy mu Richard Sulík dve minúty (vulgárne nadával).",2021,4,Nepravda
Jaroslav Naď,Oľano,Na telo plus,"… však oni (SaS, pozn.) sami hovorili, že sa má ísť na pôdorys volebných výsledkov 2020, tak keď sme to zopakovali, tak zrazu s tým nesúhlasia.",2021,4,Zavádzajúce
Jaroslav Naď,Oľano,Na telo plus,"(To nemôže byť o tom), že najsilnejšia strana, ktorá získala 25 %, teraz dostane naložené od strany, ktorá získala 6 % (SaS, pozn.).",2021,4,Pravda
Jaroslav Naď,Oľano,Na telo plus,"… oni získali mandát od ľudí na dve ministerské miesta, dali sme im tretie. My sme získali mandát na deväť ministerských miest, zobrali sme si osem, lebo sme jedno dali SaS-ke.",2021,4,Pravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Čo sa týka AstraZenecy, ani jeden prípad doteraz nebol dokázaný alebo teda súvislosť úmrtia nebola dokázaná.",2021,4,Pravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Ja viem jednu štatistiku, ktorá je z Rakúska, kde AstraZenecou zaočkovali 140 000 ľudí. Z toho boli vedľajšie následky mali traja takého vážnejšieho charakteru.",2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Pozrite sa do Rakúsko, v rakúskom cestovnom ruchu a v gastre dostáva bežný podnikateľ, ktorý prichádza kvôli uzavretiu podnikov o svoje príjmy 50-80 minuloročných tržieb. K tomu sú mu preplatené kurzarbeity pre zamestnancov, ešte aj fixné náklady. Na Slovensku Slováci nedostávajú nič kvôli tejto vláde...",2021,4,Nepravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Ale Nemecko, ani Rakúsko nemajú povinné testovanie, to, čo máme na Slovensku... toto nemajú nikde, len na Slovensku a zvyšuje to mobilitu. To hovoria predsa epidemiológovia, že zvyšujú mobilitu.",2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Vyhovárať sa teraz na Roberta Fica a Ľuboša Blahu, že si dali pri fotografovaní na chvíľku dole rúško (počas protestov zo 17. novembra 2020, pozn.), čo mimochodom dovoľovala vtedajšia vyhláška a dovoľuje to doteraz vyhláška.",2021,4,Zavádzajúce
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"A to všetci ten príbeh poznáme, kedy plakal pán Krajčí na vláde a Matovič hlasoval proti nemu, tak isto ako pán Sulík.",2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Pani redaktorka, to bolo v novembri 2020, že? 17. novembra, keď sme boli na námestí na proteste, kedy tu bolo na Slovensku 1800 pozitívnych prípadov covidu v priemere, dneska ich máme 5000, čiže je to asi trošku iná situácia, rozumieme si, že? Bolo vtedy 800 úmrtí, dneska máme cez 8000 úmrtí.",2021,4,Pravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Pán Blaha povedal 8. 6. 2020. Vláda straší ľudí korunou, koronapandémiu, aj keď jasné, že pandémia už je preč. 18. 9. 2020 kapitalistické vlády si vymysleli koronapandémiu, aby mohli zotročiť ľudí, ale už 23. 10. hovoril, že ide druhá vlna, treba niečo robiť.",2021,4,Zavádzajúce
Juraj Krúpa,Oľano,Sobotné dialógy,"Nemecko teraz nakupuje miliardu takýchto testov, Rakúsko denne testuje 200 000 ľudí týmito antigénovými testami.",2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"ak oni momentálne podľa ich šéfky zdravotníckeho výboru pani Cigánikovej zainvestovali do testovania trištvrte miliardy EUR, trištvrte miliardy, pôvodne hovorila miliardu, upravila to na trištvrte miliardy, čo je približne 15 alebo 17 nemocníc, normálnych veľkých funkčných nemocníc.",2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Len kvôli tomuto (plošnému testovaniu - pozn.) sme sa dostali na tie najhoršie priečky na svete. Veď zoberte si, čo iné robí Slovenská republika v porovnaní s inými krajinami ako je testovanie? No jedine to testovanie. A práve preto sme najhorší na svete.",2021,4,Neoveriteľné
Juraj Krúpa,Oľano,Sobotné dialógy,Vyše 60 % všeobecných lekárov je v dôchodkovom veku.,2021,4,Nepravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Ja som videl grafy zas, naša ekonomika rastie, ten prepad, ktorý bol predpokladaný zhruba okolo 9 až 10 %, je polovičný. A za jeseň, keď sa robilo plošné testovanie, teda nemuseli sme zavádzať takýto tvrdý lockdown, pretože sme sa spoliehali na to testovanie, tak naša ekonomika rástla, čo nás zachránilo v podstate ekonomicky a dokonca sme predbehli aj Poľsko.",2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Viete, ja musím povedať to, čo som si opäť naštudoval v The Economiste a opakujem, nie je to časopis, ktorý by bol ľavicový. Tam Slovenská republika figuruje v rámci štátnej pomoci v covide, oni vyčlenili takých 5 kategórií. Prvá kategória, kde sú krajiny ako je Nemecko, to majú na 10 % HDP, druhá kategória je nad 7,5 %, tam figuruje napr. Poľsko, náš sused. Tretia kategória, to sú na 5 %, tam figuruje povedzme Česká republika, náš sused a my sme v predposlednej štvrtej kategórii 2,6 %, kde sme s takými klenotmi ľudstva ako je Zimbabwe a Mauritánia. A potom pod nami sú už iba krajiny typu Sudán a Mozambik, čiže pán kolega, my sme jedny z najhorších v štátnej pomoci.",2021,4,Zavádzajúce
Juraj Krúpa,Oľano,Sobotné dialógy,"Zamestnanosť u nás je okolo 7 alebo 8 %. Predpoklady alebo odhady boli 12 až 15 %, (čo dokazuje to, že štátna pomoc je účinná.).",2021,4,Pravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Niečo podobné vidíme v Rakúsku, kde tá nespokojnosť rastie, pretože ľudia sú unavení nielen u nás, ale aj v Rakúsku. Tam vidíme tak isto, že tam ľudia chodia demonštrovať. Tak isto Kurzova popularita nijakým zásadným spôsobom nerastie, práve naopak, je tam niekoľko žalôb aj z kultúrnej obce rakúskej na rakúsky ústavný súd a podobné záležitosti. Čiže Rakúšania sa dokonca pokúšali uvoľniť atmosféru a situáciu, že otvorili reštaurácie asi na 9 dní a museli okamžite zavrieť, pretože čísla začali rásť.",2021,4,Pravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Nemecko už má 5 mesiacov kompletne zavreté všetky reštaurácie, bary, kultúrne podujatia atď, čiže tam takisto rastie určitá nespokojnosť. Tento rok budu tzv. super volebný rok v Nemecku, kde v spolkových krajinách budú voľby.",2021,4,Pravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Najnovší prieskum v Nemecku napr. vykazuje, že nemecká CDU/CSU klesajú a majú najnižšiu popularitu tuším za posledných 10 rokov.",2021,4,Pravda
Juraj Krúpa,Oľano,Sobotné dialógy,"Ja si veľmi dobre spomínam, aké hádky boli aj v predošlej koalícii a to sme tu mali konjunktúru a to sme mali, žiadna pandémia neexistovala, ani nič podobné, kde po roku Andrej Danko roztrhol koaličnú zmluvu, ja si pamätám na výroky Fica, ktorý hovoril, že s Bugárom sa v živote baviť nebude.",2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Pozrite sa ako to je v Nemecku, ako to je v Rakúsku, ako to je v iných krajinách. Veď tam rastie podpora koalície, rastie podpora lídrov.",2021,4,Nepravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,Sme ako Slovensko prepracovali na najhoršie rekordné čísla v počte úmrtí a v počte hospitalizácií na celom svete.,2021,4,Pravda
Ľuboš Blaha,SMER-SD,Sobotné dialógy,"Oni sa nevedia zjednotiť ani navzájom v rámci koalície a trpí tým celý štát, videli ste v piatok na vláde, že boli presunuté všetky body, ktoré riešia pandémiu, ktoré riešia štát.",2021,4,Nepravda
Peter Kmec,Hlas-SD,V politike,"Združenie poľnohospodárov Slovenska, ktorí verejne vyjadrili, že proste vedie sa paralelná diskusia (o pláne obnovy, pozn.) bez ich účasti. To isté sa napr. teraz objavilo vrátane budovania cyklotrás, kde cyklokoalícia povedala, že vôbec s nimi neboli tieto veci konzultované.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Máme tú slobodu, to, že sme členmi NATO neznamená, že sa musíme podpísať pod každé rozhodnutie, ktoré vymyslia či Spojené štáty či Veľká Británia.",2021,3,Pravda
Peter Kmec,Hlas-SD,V politike,"Treba sa vrátiť zase k tej odbornej debate, začať zbierať dáta. Bude to veľmi ťažké, pretože na rôznych ministerstvách boli rozprášené analytické jednotky, či už je to ministerstvo životného prostredia, či už je to ministerstvo zdravotníctva, implementačná jednotka na Úrade vlády, takže vlastne my sme stratili tie analytické kapacity, s ktorými sme mali pracovať.",2021,3,Zavádzajúce
Peter Kmec,Hlas-SD,V politike,"Vláda nám nepredložila konkrétne predstavy (plánu obnovy, pozn.), ako naplniť tie rozhodnutia a predstavy, ktoré prišli z Bruselu a ako ich potom implementovať do tých národných priorít. Máme tu súhrn nejakých základných hesiel a oblastí, do ktorých by chcela vláda tieto peniaze investovať, ale stále nevidíme to mäso, ktoré nám už pán Heger sľuboval.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Sme nielen v najhoršej zdravotnej kríze od konca prvej svetovej vojny, ale aj hospodárskej kríze od konca druhej svetovej vojny.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Zvyšných niekoľko 150 krajín má preočkovaných oveľa menej (ľudí). Tých krajín mimo Európskej komisie (únie - pozn.), ktoré sú úspešnejšie ako my ,(v preočkovaní populácie, pozn.), je doslova iba asi 5 alebo 6.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Šéfka Európskej komisie sama povedala, že tie zmluvy (s výrobcami vakcín, pozn.), keby vedeli, ako budú k tomu tie firmy pristupovať, by napísali inak. Boli by tam prísnejšie a záväznejšie termíny a objemy, ktoré sa mali dodať.",2021,3,Nepravda
Peter Kmec,Hlas-SD,V politike,"Táto francúzska spoločnosť Sanofi ponúkla svoje výrobné kapacity pre iné vakcíny, nie pre svoje, pretože tú bude mať vyvinúť oveľa neskôr.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Izrael mal exkluzívnu zmluvu s Pfizerom, v rámci ktorej si Pfizer testoval nie samotnú vakcínu, ta bola otestovaná, preverená, certifikovaná. Testoval si distribúciu vakcíny v danej krajine. Pfizer je jedna z tých vakcín, ktoré musia byť veľmi prudko prísne chladené, takže bola otázka, ako sa vlastne bude distribuovať a urobili si v podstate dohodu s Izraelom, že idú si tam testovať, ako rýchle to bude, ako efektívne sa dá tá vakcína za týchto podmienok distribuovať.",2021,3,Nepravda
Peter Kmec,Hlas-SD,V politike,"Pretože do konca apríla máme predložiť konkrétny materiál Európskej komisii, ktorá by mala schváliť. Schvaľovací proces je potom 2-6 mesiacov v závislosti od toho, teda kto príde prvý bude mať rýchlejšie schvaľovaný ten plán (plán obnovy, pozn.).",2021,3,Nepravda
Tomáš Valášek,Za ľudí,V politike,"My sme nezaviazali (záväzok na prednostný predaj vakcín Európskej Únii, pozn.) podobným spôsobom tie fabriky, ktoré vyrábajú AstraZenecu na pôde Európskej únie.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Podľa verejne dostupných informácií tá zmluva britská s AstraZenecou hovorí, to, čo je vyrobené v Británii, ostáva v Británii. (vakcíny, pozn.).",2021,3,Pravda
Peter Kmec,Hlas-SD,V politike,"Čo sa udialo v roku 2003 okolo Iraku (a veľmi silne to poškodilo kredibilitu a silu Európskej únie), pretože EÚ sa rozdelila na 2 bloky.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Nebolo to NATO, boli to Spojené štáty unilaterálne, ktoré urobili to, čo urobili v Iraku. (vražda iránskeho generála Solejmáního - pozn.)",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Londýnsky medzinárodný inštitút pre strategické štúdie, ktorí hovoria, že ak by chcela byť Európa samostatná, ak by teda mala byť tá strategická nezávislosť alebo autonómia, ktorá je Francúzsko realitou, tak by sme museli minúť niekoľko stovák miliárd a čakať asi 20 rokov, kým by sme si nakúpili tie zbrane, techniku a hlavne ten výcvik, ktorý treba na to, aby sme nahradili Spojené štáty.",2021,3,Pravda
Tomáš Valášek,Za ľudí,V politike,"Tých vakcín skutočne prišlo od tých zazmluvnených výrobcov oveľa menej ako malo. AstraZeneca je taký obzvlášť deviant v tom, že poskytla skutočne menej ako polovičku tých vakcín, ktoré podľa zmlúv mala poskytnúť.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"Ohlasovala sa ekaranténa, a poviem úprimne, tú ekaranténu sme začali vyvíjať už v marci, keď som ešte bola ministerka vnútra na ministerstve vnútra. Tá istá aplikácia, s tou istou firmou, išla na. Išla na Ministerstvo zdravotníctva, potom pompézne sa vyvíjala a mala byť implementovaná alebo resp. mala byť používaná začiatkom septembra, bolo tu, bola tu veľká oslava, veľká slávnosť na hraniciach, kde boli prítomní viacerí členovia vlády, zapli túto ekaranténu, fungovala 2 týždne tá karanténa.",2021,3,Nepravda
Richard Sulík,SaS,O 5 minút 12,"Ten Ivermektín, čo ste použili ako príklad pani Saková, to je tak, že ten liek tu je 40 rokov, nie sú známe žiadne výrazné negatívne vedľajšie účinky, a niektoré krajiny ho už používajú, je tam ďaleko viac skúseností, a tiež sa ho nejde teraz doviezť 2 000 000 kusov.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"Keď tu máme liek Ivermektín a tento tak isto nakúpil pán Krajčí, pán minister Krajčí na vlastnú zodpovednosť. A tiež to nie je registrovaný liek a je to podpôrny liek.",2021,3,Pravda
Richard Sulík,SaS,O 5 minút 12,Tieto nové vakcíny zasahujú aj do ľudského DNA.,2021,3,Nepravda
Denisa Saková,Hlas-SD,O 5 minút 12,Čo dnes hovoria všetci lekári? Nemalo sa to celoplošné testovanie vôbec uskutočniť.,2021,3,Nepravda
Denisa Saková,Hlas-SD,O 5 minút 12,"(rozviazané ruky polícia mala už od môjho nástupu, od nástupu Petra Pellegriniho,) nehovorím to ja, povedal to exminister vnútra pán Palko v jednej relácii, že to nie je zásluha tejto vlády, je to zásluha gen. Lučanského, ktorý tu už dnes nie je. Ale ktorý sa zaslúžil o to, že nám Mikuláš Černák dnes nebehá na slobode. A že ten, ktorý zavraždil možno najviac osôb ako mafiánsky boss na Slovensku, je dneska za mrežami. A presne tak ako je za mrežami ako ste ho spomínali, pán Kočner, s ktorým ste dokonca raňajkovali.",2021,3,Pravda
Richard Sulík,SaS,O 5 minút 12,"Keď na jar u nás bola situácia v poriadku, ale v Bergame nebola, tak my sme poskytli pomoc talianskej vláde.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"On (premiér Matovič, pozn.) vyhlási, že vlastne učitelia do 55 rokov sa môžu AstrouZenecou očkovať, aj keď majú nejaké negatívne účinky, a učiteľom nad 55 rokov, tí sa očkovať nemôžu, zároveň vyzdvihne Sputnik.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"To úplne normálna situácia, ktorú sme zažili v prvej vlne pandémie. Presne to sme zažili s ochrannými pracovnými prostriedkami, keď jednoducho ste mali naložené kamióny, a pokiaľ ste vy si zazmluvnili tu konkrétnu dodávku, a ste posielali peniaze do zahraničia, prišiel nemecký partner, to vyplatil hotovosťou a bral všetky kamión.",2021,3,Neoveriteľné
Richard Sulík,SaS,O 5 minút 12,"To bolo v decembri až, čo schválila Európska lieková agentúra vôbec v ten, tu prvú vakcínu Pfizer, AstraZeneca došla až po nej, pokiaľ viem, čiže tu naozaj, ono skôr to (zhánať vakcíny pre Slovensko, pozn.) nešlo.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"(...) že jedno naložené lietadlo zhruba za 30.000.000 EUR ochrannými pracovnými prostriedkami, ktoré si myslím objednala vtedy nemecká alebo belgická strana, sa niekde stratilo v Afrike",2021,3,Neoveriteľné
Denisa Saková,Hlas-SD,O 5 minút 12,Každý jedenásty dôchodca v kraji nám zomiera.,2021,3,Zavádzajúce
Denisa Saková,Hlas-SD,O 5 minút 12,"Wiener Zeitung jasne po našom celoplošnom testovaní, keď pán premiér tu ohlasoval a dokonca vaša kolegyňa pani Nicholsonová v jednej relácii mi hovorila, aké je to svetové, aké to všetci preberajú, tak Wiener Zeitung o tom napísal, že to nezopakujú, pretože sa im to zdá po prvé protiústavné, a po druhé, že to neprináša žiadne výsledky.",2021,3,Neoveriteľné
Denisa Saková,Hlas-SD,O 5 minút 12,"Máme za minulý rok sme mali najväčší nárast úmrtí od druhej svetovej vojny.(...) sme prvá najhoršia krajina na svete v počte úmrtí na covid a sám premiér hovoril, že on nikdy nebude premiérom, ktorému zomierajú ľudia.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"keď už v júni Taliansko chystalo, že bude očkovať dôchodcov nad 65 rokov, hoci akou vakcínou na chrípku, už o tom uvažovali v júni, že v septembri začnú očkovanie, tak my v júni sme sa tu tvárili, že je všetko v poriadku, my v júni sme otvorili hranice, všetci išli na dovolenky a sám premiér priznal, áno, boli sme dovolenkovať.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"Nikto z koalície, nikto z koalície nepodporil ani otvorenie mimoriadnej schôdze, ani nepodporil schválenie programu, kde sme doplnili bod o pandémii.",2021,3,Pravda
Richard Sulík,SaS,O 5 minút 12,"Zdravotníctvo sme prevzali, mimo akejkoľvek korony, v dezolátnom stave, všetky ukazovatele, napr. počet odvrátiteľných úmrtí atď., všetky boli u nás katastrofálne už predtým.",2021,3,Nepravda
Denisa Saková,Hlas-SD,O 5 minút 12,"V Rakúsku zatvárali hneď po Vianociach hranice, pretože vedeli o juhoafrickej mutácii, vedeli o anglickej mutácii, ktorú, preto spravili prvý lockdown už pred Vianocami. My sme ten lockdown nespravili, my sme tu mali bublinky, my sme sa lyžovali, a teraz jednoducho naše nemocnice kolabujú.",2021,3,Pravda
Richard Sulík,SaS,O 5 minút 12,"Treba, ale aj povedať aj Pfizer, aj tí ostatní nasľubovali, a nedodali, aspoň do Európskej únie, lebo predávajú to kade všade vo svete drahšie.",2021,3,Neoveriteľné
Richard Sulík,SaS,O 5 minút 12,"Aj Maďarsko bolo sľúbených nejaké nejaké počet počty vakcín (Sputnik, pozn.) a neboli dodané tak ako boli sľúbené,",2021,3,Pravda
Richard Sulík,SaS,O 5 minút 12,"A keď teda aj hovoríte že, že stále nejaké spory atď. však si spomeňte na 2016 rok sa mi zdá, keď Andrej Danko tú to sa ráno zobudil a posielal výpoveď z koaličnej zmluvy. Toto skrátka prináša každá koalícia.",2021,3,Pravda
Richard Sulík,SaS,O 5 minút 12,"Nemám na to žiadne dôkazy, (mám len taký pocit), že rozhodnutie toho maďarského ŠÚKLu (Štátny ústav pre kontrolu liečiv, pozn.), tam sa to volá inak ten ústav, že teda vzniklo pod veľmi silným politickým tlakom.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"Ak dá NBÚ (Národný bezpečnostný úrad, pozn.) previerku v Nemecku, tak automaticky naše NBÚ to preberá.",2021,3,Pravda
Denisa Saková,Hlas-SD,O 5 minút 12,"Dovoz sputnika nie je momentálne otázkou dňa, pretože sú i od výrobcu jasné informácie, že toľko vakcín momentálne nemá k dispozícii, že nemá toľko vakcín k dispozícii ani pre svoj domáci trh, takže ešte raz opakujem, dovoz vakcín nie je otázka dňa, ale je otázka mesiacov.",2021,3,Pravda
Richard Sulík,SaS,O 5 minút 12,"No on nemá (Štátny ústav pre kontrolu liečiv, pozn.) dostatočné kapacity na to, aby vydal registráciu, ale ani to nerobieval.",2021,3,Pravda
Veronika Remišová,Za ľudí,O 5 minút 12,"Máme tu pána generálneho prokurátora, za ktorého, my sme zaňho teda nehlasovali, ale kompletne zaňho hlasovala celá opozícia.",2021,3,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"Pán Lipšic zastupoval aj vraha Ernesta Valka, ktorý bol jeho najlepší kamarát. Pán Lipšic bol intímny priateľ pani Zsuzsovej, ktorá dnes je tam, kde je.",2021,3,Neoveriteľné
Veronika Remišová,Za ľudí,O 5 minút 12,"Boli podvody na pôdohospodárskej agentúre, kde sme platili vašej okresnej predsedníčke dotácie na betón.",2021,3,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"A presne v čase, kedy sa odbory rozhodujú, že či referendum podporí alebo nepodporia, schvália novelizáciu Zákonníka práce.",2021,3,Pravda
Veronika Remišová,Za ľudí,O 5 minút 12,Bžán ktorému túto pán poslanec… Mu chceli vyplatiť 77.000.000 EUR za jeden súdny spor,2021,3,Pravda
Veronika Remišová,Za ľudí,O 5 minút 12,"Pozrime sa na prvé referendum, ktoré (Robert Fico, pozn.) organizoval spoločne s pánom Mečiarom, podpisy sa síce podarilo vyzbierať, referendum bolo neplatné, minuli sme milióny EUR. Druhé referendum zase prehral voľby, zase začal s referendom, znovu sa vyzbierali podpisy, referendum bolo neplatné, minuli sme niekoľko miliónov EUR. Teraz prehral voľby, zase stará známa pesnička s referendom, zase sa začínajú zbierať podpisy.",2021,3,Pravda
Róbert Fico,SMER-SD,O 5 minút 12,"Keď tak strašne bojujete za tú vedu, výskum a školstvo a za všetko, tak prečo ste im zobrali teraz, koľko to je 130 či 150.000.000 EUR a dali ste to Sulíkovi?",2021,3,Zavádzajúce
